axis_ratio,filename,largest_ratio,max_edge_ratio,status,thick_faces,thick_largest,thick_max_edge,thick_vertices,thin_faces,thin_largest,thin_max_edge,thin_vertices
1.0207,hat-3d-model-05-d658345c.glb,1.0013,1.0057,ok,28496,3.1445,0.0915,14346,13348,3.1404,0.0910,7128
1.0071,hat-3d-model-06-2c812517.glb,1.0049,1.0047,ok,24028,2.1186,0.0726,12022,11422,2.1083,0.0723,6011
1.0354,hat-3d-model-07-f772e382.glb,1.0064,1.0533,ok,75188,2.4158,0.1092,37614,35662,2.4004,0.1037,18807
1.0074,hat-3d-model-08-8b5fff95.glb,1.0041,1.0113,ok,14848,2.6559,0.1406,7420,6584,2.6452,0.1390,3710
1.0103,hat-3d-model-09-414af7e1.glb,1.0039,1.0093,ok,31604,3.8575,0.1431,15826,14833,3.8424,0.1417,7913
1.0088,hat-3d-model-10-0b2ff23a.glb,1.0047,1.6587,ok,498228,4.4991,0.1458,249132,245895,4.4778,0.0879,124566
6.9288,hat-3d-model-11-6ca90458.glb,6.9288,150.8710,suspicious,115948,27.5626,15.7931,57982,57026,3.9780,0.1047,28991
26385.0072,henley-roll-sleeve-shirt-3d-garment-model.glb,12153.9555,517975.9511,suspicious,1210732,932422.6875,1242462.4996,618315,526932,76.7176,2.3987,305339
1.0110,hoodie-mockup-3d-model-01-82ceee9b.glb,1.0029,1.2061,ok,126108,8.8103,0.3483,63128,59528,8.7846,0.2888,31537
1.0113,hoodie-mockup-3d-model-02-a413536b.glb,1.0023,1.2013,ok,62924,11.9168,0.3243,31512,29322,11.8895,0.2700,15756
1.0110,hoodie-mockup-3d-model-03-dca998b8.glb,1.0022,2.1708,ok,113788,9.7543,0.3449,56964,54400,9.7328,0.1589,28482
1.0112,hoodie-mockup-3d-model-04-e77e8039.glb,1.0021,13.4404,suspicious,62936,9.7012,3.6350,31520,29322,9.6812,0.2704,15758
1.0116,hoodie-mockup-3d-model-05-ef62b7ed.glb,1.0025,1.0036,ok,83996,9.3407,0.3742,42078,39468,9.3175,0.3729,21026
1.0109,hoodie-mockup-3d-model-06-e554ac26.glb,1.0016,1.4262,ok,68476,13.6489,0.5197,34430,29710,13.6271,0.3644,17127
1.0102,jacket-3d-model-01-1e3f1420.glb,1.0025,1.4263,ok,110348,10.9714,0.2746,55254,51641,10.9445,0.1925,27596
1.4025,jacket-3d-model-02-c70928e8.glb,1.2940,21.9999,suspicious,231704,12.3087,4.7941,116562,102161,9.5118,0.2179,57915
1.0118,jacket-3d-model-03-fb4d540f.glb,1.0019,14.1989,ok,128680,8.4789,2.2832,64434,60327,8.4629,0.1608,32217
1.0113,jacket-3d-model-04-c9941106.glb,1.0010,1.9834,ok,65004,7.0349,0.3687,32562,29998,7.0280,0.1859,16281
1.0091,jacket-3d-model-05-1cf216c4.glb,1.0037,1.0118,ok,380148,8.5748,0.2351,190164,186699,8.5434,0.2324,95072
1.1344,jacket-3d-model-06-728eac01.glb,1.0037,15.1615,ok,103552,8.2056,2.7995,52636,41108,8.1751,0.1846,26024
1.0058,jacket-3d-model-07-23919529.glb,1.0030,2.9487,ok,111152,9.0155,1.0453,55710,52057,8.9881,0.3545,27824
1.2208,jacket-3d-model-08-8d4724a3.glb,1.1780,27.9919,suspicious,62804,12.2013,5.3120,31452,29310,10.3578,0.1898,15723
8.8673,jacket-3d-model-09-96decb80.glb,8.2938,193.5322,suspicious,246696,63.0498,66.8149,128786,84128,7.6021,0.3452,63176
13.2893,jacket-3d-model-10-9cec3db9.glb,6.0472,74.5131,suspicious,410796,52.0294,28.4711,210000,144145,8.6039,0.3821,102673
